session_id,x,y,time,event_type,label
_8opj3s3c9,79,190,831,move,human
_8opj3s3c9,99,130,887,move,human
_8opj3s3c9,83,78,942,move,human
_8opj3s3c9,60,54,998,move,human
_8opj3s3c9,45,42,1054,move,human
_8opj3s3c9,40,32,1106,move,human
_8opj3s3c9,39,32,1261,move,human
_8opj3s3c9,37,24,1314,move,human
_8opj3s3c9,37,23,1369,move,human
_ztxvvtulh,1229,768,119,move,human
_ztxvvtulh,1248,768,417,move,human
_ztxvvtulh,1242,749,471,move,human
_ztxvvtulh,1179,675,526,move,human
_ztxvvtulh,1004,562,582,move,human
_ztxvvtulh,664,473,638,move,human
_ztxvvtulh,388,433,693,move,human
_ztxvvtulh,288,406,749,move,human
_ztxvvtulh,242,388,805,move,human
_ztxvvtulh,197,366,860,move,human
_ztxvvtulh,182,317,916,move,human
_ztxvvtulh,216,217,971,move,human
_ztxvvtulh,189,109,1027,move,human
_ztxvvtulh,113,59,1083,move,human
_ztxvvtulh,75,37,1138,move,human
_ztxvvtulh,65,33,1201,move,human
_ztxvvtulh,64,31,1304,move,human
_ztxvvtulh,55,23,1361,move,human
_ztxvvtulh,50,19,1430,move,human
_yb7o6phn8,1505,474,58,move,human
_yb7o6phn8,1505,475,440,move,human
_yb7o6phn8,1505,474,1114,move,human
_yb7o6phn8,1505,473,1361,move,human
_yb7o6phn8,1386,419,1415,move,human
_yb7o6phn8,1169,351,1470,move,human
_yb7o6phn8,916,333,1526,move,human
_yb7o6phn8,793,351,1581,move,human
_yb7o6phn8,777,355,1641,move,human
_yb7o6phn8,770,363,1693,move,human
_yb7o6phn8,780,371,1994,move,human
_yb7o6phn8,754,369,2047,move,human
_yb7o6phn8,641,357,2101,move,human
_yb7o6phn8,471,326,2158,move,human
_yb7o6phn8,325,257,2214,move,human
_yb7o6phn8,213,162,2270,move,human
_yb7o6phn8,196,136,2325,move,human
_yb7o6phn8,203,106,2381,move,human
_yb7o6phn8,186,83,2436,move,human
_yb7o6phn8,131,69,2492,move,human
_yb7o6phn8,113,59,2548,move,human
_yb7o6phn8,96,43,2603,move,human
_yb7o6phn8,75,18,2659,move,human
_yb7o6phn8,72,15,2711,move,human
_yb7o6phn8,71,15,2829,move,human
_yb7o6phn8,65,16,2888,move,human
_yb7o6phn8,62,16,2941,move,human
_yb7o6phn8,58,16,3031,move,human
_gszemyjee,1322,523,60,move,human
_gszemyjee,1323,524,116,move,human
_gszemyjee,1322,524,549,move,human
_gszemyjee,1312,529,1000,move,human
_gszemyjee,1317,526,1058,move,human
_gszemyjee,1312,522,1110,move,human
_gszemyjee,1309,520,1188,move,human
_gszemyjee,1307,519,1239,move,human
_gszemyjee,1231,489,1291,move,human
_gszemyjee,891,394,1346,move,human
_gszemyjee,484,301,1402,move,human
_gszemyjee,304,228,1457,move,human
_gszemyjee,174,163,1513,move,human
_gszemyjee,128,142,1569,move,human
_gszemyjee,91,133,1624,move,human
_gszemyjee,75,116,1680,move,human
_gszemyjee,46,73,1736,move,human
_gszemyjee,25,24,1791,move,human
_gszemyjee,21,15,1845,move,human
_3ba7e2oyn,1389,512,57,move,human
_3ba7e2oyn,1235,540,113,move,human
_3ba7e2oyn,870,542,168,move,human
_3ba7e2oyn,587,537,224,move,human
_3ba7e2oyn,519,527,280,move,human
_3ba7e2oyn,513,524,663,move,human
_3ba7e2oyn,443,445,718,move,human
_3ba7e2oyn,302,308,773,move,human
_3ba7e2oyn,224,254,829,move,human
_3ba7e2oyn,192,235,886,move,human
_3ba7e2oyn,178,228,940,move,human
_3ba7e2oyn,156,205,996,move,human
_3ba7e2oyn,126,145,1052,move,human
_3ba7e2oyn,95,94,1107,move,human
_3ba7e2oyn,78,63,1162,move,human
_3ba7e2oyn,72,54,1222,move,human
_3ba7e2oyn,68,50,1274,move,human
_3ba7e2oyn,62,40,1330,move,human
_3ba7e2oyn,53,29,1385,move,human
_3ba7e2oyn,47,21,1440,move,human
_3ba7e2oyn,44,17,1683,move,human
_sy0pk92ld,611,676,85,move,human
_sy0pk92ld,531,497,139,move,human
_sy0pk92ld,315,310,194,move,human
_sy0pk92ld,180,199,249,move,human
_sy0pk92ld,109,127,305,move,human
_sy0pk92ld,94,85,362,move,human
_sy0pk92ld,104,67,416,move,human
_sy0pk92ld,99,56,472,move,human
_sy0pk92ld,56,28,527,move,human
_sy0pk92ld,44,18,578,move,human
_sy0pk92ld,42,16,632,move,human
_0wmguu8nk,563,200,55,move,human
_0wmguu8nk,261,217,111,move,human
_0wmguu8nk,92,214,167,move,human
_0wmguu8nk,64,174,222,move,human
_0wmguu8nk,62,169,276,move,human
_0wmguu8nk,69,146,328,move,human
_0wmguu8nk,65,97,382,move,human
_0wmguu8nk,60,68,438,move,human
_0wmguu8nk,57,60,493,move,human
_0wmguu8nk,54,50,549,move,human
_0wmguu8nk,54,48,685,move,human
_0wmguu8nk,53,47,740,move,human
_0wmguu8nk,50,38,792,move,human
_0wmguu8nk,46,29,848,move,human
_0wmguu8nk,45,27,1055,move,human
_0wmguu8nk,45,26,1133,move,human
_a9xp0kpb9,324,928,543,move,human
_a9xp0kpb9,290,893,598,move,human
_a9xp0kpb9,153,565,653,move,human
_a9xp0kpb9,104,425,709,move,human
_a9xp0kpb9,63,359,764,move,human
_a9xp0kpb9,66,319,820,move,human
_a9xp0kpb9,154,255,876,move,human
_a9xp0kpb9,278,192,931,move,human
_a9xp0kpb9,318,123,987,move,human
_a9xp0kpb9,237,65,1042,move,human
_a9xp0kpb9,145,16,1098,move,human
_a9xp0kpb9,99,7,1154,move,human
_a9xp0kpb9,78,4,1209,move,human
_a9xp0kpb9,64,9,1265,move,human
_a9xp0kpb9,60,11,1343,move,human
_a9xp0kpb9,58,12,1398,move,human
_colam2aig,851,633,97,move,human
_colam2aig,852,632,924,move,human
_colam2aig,803,589,977,move,human
_colam2aig,650,419,1033,move,human
_colam2aig,520,327,1088,move,human
_colam2aig,454,279,1144,move,human
_colam2aig,451,277,1264,move,human
_colam2aig,394,221,1318,move,human
_colam2aig,227,116,1373,move,human
_colam2aig,120,44,1429,move,human
_colam2aig,62,10,1485,move,human
_colam2aig,52,4,1660,move,human
_colam2aig,38,12,1714,move,human
