session_id,x,y,time,event_type,label
_oqusgb9hs,528,279,1728640821390,move,humain
_oqusgb9hs,499,259,1728640821448,move,humain
_oqusgb9hs,459,237,1728640821506,move,humain
_oqusgb9hs,404,205,1728640821564,move,humain
_oqusgb9hs,363,184,1728640821615,move,humain
_oqusgb9hs,318,164,1728640821672,move,humain
_oqusgb9hs,274,142,1728640821723,move,humain
_oqusgb9hs,230,116,1728640821781,move,humain
_oqusgb9hs,191,99,1728640821839,move,humain
_oqusgb9hs,155,83,1728640821897,move,humain
_oqusgb9hs,108,65,1728640821955,move,humain
_oqusgb9hs,84,50,1728640822006,move,humain
_oqusgb9hs,47,31,1728640822064,move,humain
_oqusgb9hs,40,25,1728640822122,move,humain
_oqusgb9hs,25,15,1728640822181,move,humain
_oqusgb9hs,26,14,1728640822539,move,humain
_c5o8ia6p5,173,335,1728641629108,move,humain
_c5o8ia6p5,177,296,1728641629159,move,humain
_c5o8ia6p5,209,261,1728641629217,move,humain
_c5o8ia6p5,223,233,1728641629275,move,humain
_c5o8ia6p5,226,207,1728641629333,move,humain
_c5o8ia6p5,210,171,1728641629392,move,humain
_c5o8ia6p5,174,147,1728641629449,move,humain
_c5o8ia6p5,133,123,1728641629508,move,humain
_c5o8ia6p5,106,105,1728641629567,move,humain
_c5o8ia6p5,71,80,1728641629624,move,humain
_c5o8ia6p5,50,65,1728641629675,move,humain
_c5o8ia6p5,39,45,1728641629733,move,humain
_c5o8ia6p5,31,28,1728641629791,move,humain
_c5o8ia6p5,30,24,1728641629843,move,humain
_8hss7t43u,1035,394,1728641643870,move,humain
_8hss7t43u,981,406,1728641643925,move,humain
_8hss7t43u,894,427,1728641643982,move,humain
_8hss7t43u,775,450,1728641644033,move,humain
_8hss7t43u,597,477,1728641644091,move,humain
_8hss7t43u,341,494,1728641644149,move,humain
_8hss7t43u,195,483,1728641644207,move,humain
_8hss7t43u,172,448,1728641644265,move,humain
_8hss7t43u,204,389,1728641644316,move,humain
_8hss7t43u,287,328,1728641644374,move,humain
_8hss7t43u,317,316,1728641644430,move,humain
_8hss7t43u,302,288,1728641644482,move,humain
_8hss7t43u,274,239,1728641644540,move,humain
_8hss7t43u,229,193,1728641644598,move,humain
_8hss7t43u,201,165,1728641644657,move,humain
_8hss7t43u,142,133,1728641644714,move,humain
_8hss7t43u,115,117,1728641644773,move,humain
