vitesse_moyenne,vitesse_min,vitesse_max,vitesse_ecart_type,vitesse_coefficient_variation,vitesse_range_ratio,acceleration_moyenne,acceleration_min,acceleration_max,acceleration_ecart_type,distance_totale,distance_ligne_droite,ratio_linearite,nombre_changements_direction,variance_angles,entropie_angles,label,session_id
727.627,286.155,3433.212,772.019,1.061,0.917,-1709.713,-24274.946,4148.971,6392.833,1349.005,265.37,0.197,1,0.327,0.398,robot,_rwff78qez
846.947,125.647,2020.365,537.044,0.634,0.938,-1885.513,-15935.692,10785.851,8283.923,639.142,445.431,0.697,3,0.409,2.254,human,_skticlacw
765.115,76.923,1935.724,493.919,0.646,0.96,-327.251,-14776.873,12784.171,6276.987,1346.139,1161.985,0.863,3,0.57,1.841,human,_sn0lvl2l3
1021.636,112.826,2910.718,833.855,0.816,0.961,-1902.129,-19469.947,9013.082,8331.48,836.402,803.711,0.961,1,0.283,1.818,human,_svjm1ucvs
768.738,270.898,3052.572,719.03,0.935,0.911,-1674.257,-19941.476,4894.203,5868.045,1173.97,219.593,0.187,1,0.41,0.179,robot,_t6hu9xj6t
685.528,41.609,2401.446,525.972,0.767,0.983,1069.651,-12584.404,22114.383,7441.278,1103.263,1074.267,0.974,1,0.061,2.705,human,_tc6373bxo
556.871,22.271,1359.557,406.514,0.73,0.984,-309.055,-10398.703,8277.198,3770.777,805.757,707.764,0.878,0,0.066,2.535,human,_tdpabakly
232.162,38.444,834.027,119.042,0.513,0.954,84.414,-3725.547,8731.045,1532.394,1084.299,804.789,0.742,3,0.046,2.843,human,_tv0u4173p
451.569,36.066,1824.167,391.841,0.868,0.98,734.914,-9115.66,7850.49,3067.268,1228.198,1100.048,0.896,4,0.521,1.734,human,_u82l70f0o
892.745,4.673,2147.158,529.701,0.593,0.998,-1588.29,-14845.052,13767.364,7798.964,1134.712,657.761,0.58,8,0.379,2.442,human,_udilaa092
538.116,19.231,1811.737,422.661,0.785,0.989,-449.471,-17738.328,10767.5,5912.208,1223.584,1034.389,0.845,2,0.06,2.655,human,_udpf96sfq
273.496,219.082,370.79,48.248,0.176,0.409,79.37,-237.385,441.248,195.224,990.817,804.824,0.812,1,0.022,2.107,robot,_ulo23i5ih
743.252,234.127,2915.729,711.908,0.958,0.92,-1556.574,-24140.429,5026.533,6008.733,1171.822,204.431,0.174,1,0.391,0.173,robot,_vfkfd5aab
765.114,28.168,2035.651,584.233,0.764,0.986,-124.806,-12434.148,29269.755,8150.049,1151.936,704.807,0.612,2,0.142,2.477,human,_vhnxxnzsk
929.099,337.297,4335.987,968.512,1.042,0.922,-2219.246,-32614.591,5854.357,8205.132,1733.87,356.051,0.205,1,0.329,0.15,robot,_vub5zy89g
212.004,49.055,291.706,66.96,0.316,0.832,37.862,-382.495,238.614,151.289,902.447,877.224,0.972,1,0.017,2.337,robot,_vxmfn3rpv
322.64,44.194,616.958,193.418,0.599,0.928,-554.829,-4389.038,2969.752,1879.248,277.301,250.799,0.904,0,0.089,2.243,human,_w13m626xk
605.527,84.38,1652.781,427.037,0.705,0.949,-285.89,-10080.687,17196.521,5942.107,938.202,590.587,0.629,5,0.196,2.575,human,_w4x44qbyq
270.618,91.214,408.733,107.196,0.396,0.777,48.107,-683.605,504.194,274.322,995.088,802.957,0.807,1,0.032,2.29,robot,_wj72430bk
868.426,37.037,3378.826,794.309,0.915,0.989,1977.801,-12746.681,22109.174,8945.226,1040.009,905.108,0.87,4,0.188,2.552,human,_wk8fp1svv
322.626,120.266,531.865,113.1,0.351,0.774,-95.877,-875.963,1016.898,433.523,1327.363,819.036,0.617,0,0.021,2.33,robot,_xir5urctb
864.397,9.346,2141.501,640.583,0.741,0.996,-1182.3,-11489.727,10188.31,5036.95,1015.173,1012.625,0.997,1,0.078,1.636,human,_xv78588w2
755.63,10.102,1950.639,559.232,0.74,0.995,-1253.801,-24321.096,16281.823,8457.916,914.157,609.631,0.667,4,0.368,2.363,human,_xx4d3i3a5
1985.589,8.131,4122.385,1189.5,0.599,0.998,-421.058,-45583.484,34671.868,15952.548,4552.211,843.297,0.185,21,0.692,2.581,human,_y3ascjbz8
679.559,48.544,1559.036,442.893,0.652,0.969,-157.806,-16108.763,12979.767,6281.449,1366.368,1143.648,0.837,3,0.068,2.713,human,_y77kd9nil
1189.755,384.6,4713.397,1116.234,0.938,0.918,-2751.354,-34753.092,8083.489,9192.452,1867.908,372.035,0.199,1,0.394,0.173,robot,_y9tx629sn
1038.342,349.686,4015.323,940.606,0.906,0.913,-2172.431,-25424.377,6630.95,7486.033,1580.125,314.035,0.199,1,0.408,0.179,robot,_ykwppo994
252.949,136.938,417.382,84.727,0.335,0.672,81.273,-602.713,715.707,367.929,1028.564,853.08,0.829,1,0.025,2.245,robot,_yp8sy418c
877.599,15.625,2149.033,659.687,0.752,0.993,596.559,-16247.12,17559.296,8036.389,1179.588,994.616,0.843,5,0.167,2.516,human,_ywvuzlj0f
203.641,104.0,368.087,83.001,0.408,0.717,57.437,-259.165,344.944,119.74,898.313,898.18,1.0,0,0.001,1.865,robot,_ywxp3aas6
236.059,23.957,417.013,119.466,0.506,0.943,15.682,-502.049,510.262,294.24,916.111,811.815,0.886,3,0.214,1.265,robot,_z3dwdp22v
1203.775,10.989,3019.605,1049.33,0.872,0.996,-1740.913,-31431.579,20406.442,13914.85,754.908,679.551,0.9,3,0.474,1.834,human,_zaljir76u
743.782,76.923,1510.27,435.491,0.586,0.949,-346.681,-12826.824,9115.734,4527.976,1232.876,1056.371,0.857,1,0.055,2.661,human,_zbp8dnif8
1633.98,26.683,5566.403,1419.365,0.869,0.995,428.075,-71122.955,69181.465,24563.35,4632.011,704.006,0.152,21,0.626,2.702,human,_zgfmvq51b
195.717,136.736,352.363,62.114,0.317,0.612,-34.111,-347.542,271.65,139.839,856.208,852.841,0.996,0,0.002,3.047,robot,_zi3gzgq5f
696.475,6.024,1788.871,432.761,0.621,0.997,339.982,-15131.47,10654.111,6494.383,1067.867,604.884,0.566,6,0.26,2.471,human,_zolh7zr7q
