vitesse_moyenne,vitesse_min,vitesse_max,vitesse_ecart_type,vitesse_coefficient_variation,vitesse_range_ratio,acceleration_moyenne,acceleration_min,acceleration_max,acceleration_ecart_type,distance_totale,distance_ligne_droite,ratio_linearite,nombre_changements_direction,variance_angles,entropie_angles,label,session_id
1415.676,17.515,6636.463,1763.552,1.246,0.997,-1375.366,-68339.542,69843.242,27353.313,1581.193,1433.196,0.906,0,0.033,2.625,human,_3ba7e2oyn
1199.929,0.0,2956.545,892.362,0.744,1.0,811.107,-22851.853,32732.746,14392.82,1882.442,1220.015,0.648,4,0.302,2.179,human,_3jl4u8afo
1029.438,20.134,3686.915,1026.178,0.997,0.995,-259.145,-30480.136,16671.142,11247.026,1252.788,913.352,0.729,4,0.084,1.259,human,_3pc43zykl
2180.705,573.523,4818.372,1550.86,0.711,0.881,-2879.294,-41131.145,29155.991,22406.894,988.702,963.636,0.975,0,0.077,1.748,human,_3w1b8t5p2
575.585,0.0,1672.68,467.588,0.812,1.0,432.432,-4407.468,7750.248,2908.834,954.999,886.518,0.928,3,0.756,1.692,human,_3z06x5d7m
1270.38,12.5,3001.238,869.01,0.684,0.996,-1957.306,-23415.993,20777.588,13740.819,1104.256,713.257,0.646,5,0.868,2.243,human,_4cxc3bekx
628.314,4.762,2614.184,658.65,1.048,0.998,-296.75,-16757.586,17879.151,7854.603,971.697,927.459,0.954,1,0.072,2.142,human,_4d728gntv
1125.696,372.629,3364.011,1013.947,0.901,0.889,1004.814,-28745.607,57526.577,26915.53,534.342,529.265,0.99,0,0.012,1.561,human,_4foqiv9oy
875.878,154.212,2153.793,571.214,0.652,0.928,-216.062,-15310.563,23710.036,8927.853,1069.69,941.252,0.88,2,0.116,2.623,human,_4jofbyj9a
458.517,6.369,1789.868,429.616,0.937,0.996,-283.734,-9519.075,10029.534,4635.31,877.636,797.629,0.909,5,0.239,2.662,human,_4zb4c6fak
597.232,125.369,1180.122,305.511,0.512,0.894,-391.176,-8314.954,5569.957,4264.491,658.473,613.922,0.932,0,0.025,2.736,human,_5fl0a4bvc
797.927,0.0,1471.111,481.361,0.603,1.0,725.944,-6686.868,13445.672,5241.674,1505.61,1195.167,0.794,5,0.574,2.218,human,_5fs8cxcp9
118.437,29.412,227.982,60.965,0.515,0.871,-516.325,-2491.995,1085.676,1143.27,51.902,50.09,0.965,1,0.078,1.792,human,_5j0jvz9dx
849.571,54.393,2315.054,624.893,0.736,0.977,-192.388,-25233.598,20953.974,9665.789,1644.213,509.66,0.31,13,0.718,2.449,human,_5op2ztia3
247.849,4.149,794.788,184.221,0.743,0.995,219.411,-6913.843,6563.592,2797.221,779.433,707.842,0.908,5,0.114,2.583,human,_5rm00zgd8
575.736,99.981,1430.619,423.874,0.736,0.93,-817.202,-6247.553,6887.962,3331.647,788.1,571.778,0.726,4,0.275,2.306,human,_5tg3p0cz5
554.861,39.216,1208.491,317.16,0.572,0.968,-546.43,-9243.918,4632.713,3577.413,644.186,435.46,0.676,3,0.114,2.58,human,_5vok0k7al
1751.939,21.053,5111.161,1587.134,0.906,0.996,2252.42,-35638.724,51497.507,26252.731,1212.435,1155.779,0.953,4,0.277,2.146,human,_5xxxhpmzu
317.501,6.897,834.027,166.203,0.523,0.992,-68.665,-6529.788,5971.842,2554.664,1021.929,995.904,0.975,2,0.061,1.96,human,_5xz9i1cg7
501.529,61.262,757.444,182.232,0.363,0.919,-90.245,-3833.769,3810.662,2278.273,628.61,619.658,0.986,0,0.01,2.582,human,_66j8jqy7j
1773.873,13.889,4896.668,1665.45,0.939,0.997,-2608.937,-27386.524,14978.965,10554.096,1369.409,1249.13,0.912,3,1.324,1.972,human,_6blsdg4zz
2367.965,2.506,6771.06,2280.555,0.963,1.0,-9290.9,-52225.343,12548.904,18296.767,1560.009,1331.424,0.853,3,1.575,1.677,human,_6ecvchcci
2216.736,9.356,14888.156,3596.513,1.622,0.999,10660.094,-151049.143,267256.863,77481.392,3983.503,561.664,0.141,14,2.304,2.602,human,_6i9in7v99
782.358,34.401,2928.626,909.258,1.162,0.988,-1355.51,-16449.718,30497.438,9969.972,701.027,689.494,0.984,0,0.024,2.396,human,_6k8f8ebam
640.912,11.494,1778.019,548.619,0.856,0.994,34.97,-20982.094,11442.641,7273.062,1233.157,796.84,0.646,2,0.312,2.119,human,_6kruzxnl8
681.671,3.968,2263.77,605.546,0.888,0.998,-431.196,-17175.205,11582.962,5746.768,1182.899,912.195,0.771,2,0.438,0.926,human,_6oiau5mi3
1273.905,11.905,5481.008,1295.867,1.017,0.998,671.183,-43208.948,56492.112,21232.46,1941.529,1410.692,0.727,8,0.921,2.228,human,_6rqhnnwo7
365.35,0.0,1491.357,279.776,0.766,1.0,-139.14,-11988.382,15413.451,4307.35,1007.602,961.961,0.955,4,0.308,1.715,human,_6sz38z69z
2118.314,72.317,7375.67,1938.875,0.915,0.99,1501.619,-45155.356,59301.215,24586.794,2108.719,1703.012,0.808,3,0.742,2.01,human,_742bi7w8a
2771.264,38.408,8288.369,3068.459,1.107,0.995,10930.241,-22634.756,90682.584,34860.881,1928.587,1705.681,0.884,6,1.313,2.043,human,_74eyvgpt0
3682.377,173.553,13018.739,4766.732,1.294,0.987,-46267.952,-112828.676,2296.58,51626.277,1485.134,1271.63,0.856,2,0.762,1.609,human,_75ta20425
247.907,-30.784,970.737,300.897,1.214,1.032,1087.126,-9786.36,10725.031,5697.695,520.406,33.0,0.063,9,1.5,1.718,human,_7a8ojet5f
555.116,13.514,2903.02,702.117,1.265,0.995,1056.455,-32586.32,53607.225,15414.753,653.728,624.196,0.955,2,0.115,2.232,human,_7amkdd6q2
382.617,13.0,1274.51,312.517,0.817,0.99,-743.348,-9205.404,4600.052,2687.386,607.783,537.587,0.885,4,0.064,2.165,human,_7mt14brek
447.083,92.593,935.764,255.097,0.571,0.901,-468.26,-5565.017,6971.951,3335.008,1263.914,983.749,0.778,2,0.25,1.617,human,_7owpmk906
1434.029,71.945,3086.4,1010.31,0.705,0.977,-1719.191,-23738.584,19622.822,12047.042,1168.485,942.985,0.807,2,0.243,2.245,human,_7xa9ror07
1443.869,447.499,3570.937,967.804,0.67,0.875,-3127.118,-22005.013,22715.88,11336.744,962.425,951.378,0.989,0,0.014,2.146,human,_87l4rpw5v
1044.39,29.762,2216.372,836.729,0.801,0.987,-613.0,-19477.674,20794.794,10495.985,847.091,837.798,0.989,0,0.014,2.138,human,_8btduqxtb
396.414,64.545,628.948,136.664,0.345,0.897,-310.344,-6669.44,2795.245,1970.692,570.234,569.727,0.999,0,0.004,2.593,human,_8jorjxqc2
653.345,9.804,1950.759,583.236,0.893,0.995,425.687,-14396.437,14813.205,7280.184,1169.828,900.434,0.77,9,1.256,2.107,human,_8jq0ronhf
